MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
2264	DIFLUCAN200 MG	197700	fluconazole 200 MG Oral Tablet	4450	fluconazole	J02AC	TRIAZOLE AND TETRAZOLE DERIVATIVES	J02A	ANTIMYCOTICS FOR SYSTEMIC USE	J02	ANTIMYCOTICS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2265	ALBUTEROL SULFAT2 MG	197316	albuterol 2 MG Oral Tablet	435	albuterol	R03AC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2266	ALBUTEROL SULFAT2 MG	197316	albuterol 2 MG Oral Tablet	435	albuterol	R03CC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03C	ADRENERGICS FOR SYSTEMIC USE	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2267	PROMACTA50 MG	825429	eltrombopag 50 MG Oral Tablet [Promacta]	711942	eltrombopag	B02BX	OTHER SYSTEMIC HEMOSTATICS	B02B	VITAMIN K AND OTHER HEMOSTATICS	B02	ANTIHEMORRHAGICS	B	BLOOD AND BLOOD FORMING ORGANS
2268	TOPAMAX25 M1	845479	topiramate 25 MG Oral Capsule [Topamax]	38404	topiramate	N03AX	OTHER ANTIEPILEPTICS	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
2269	LEVEMIR100 UNIT/3	484322	insulin detemir 100 UNT/ML Injectable Solution	139825	insulin detemir	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2270	DURAGESIC1 PATCH .5	245134	72 HR fentanyl 0.025 MG/HR Transdermal System	4337	fentanyl	N01AH	OPIOID ANESTHETICS	N01A	ANESTHETICS, GENERAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
2271	DURAGESIC1 PATCH .5	245134	72 HR fentanyl 0.025 MG/HR Transdermal System	4337	fentanyl	N02AB	PHENYLPIPERIDINE DERIVATIVES	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
2272	LINZESS72 MCG	1869697	linaclotide 0.072 MG Oral Capsule	1307404	linaclotide	A06AX	OTHER DRUGS FOR CONSTIPATION	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2273	FUROSEMIDE40 MG	313988	furosemide 40 MG Oral Tablet	4603	furosemide	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
2274	LIPITOR 80MG TA80 MG	262095	atorvastatin 80 MG Oral Tablet [Lipitor]	83367	atorvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
2275	AMITRIPTYLINE150 MG	856773	amitriptyline hydrochloride 150 MG Oral Tablet	704	amitriptyline	N06AA	NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2276	K-DUR 20MEQ TA20 MEQ	1801294	Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
2277	K-DUR 20MEQ TA20 MEQ	1801294	Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
2278	PROZAC10 MG	310384	fluoxetine 10 MG Oral Capsule	4493	fluoxetine	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2279	BACLOFEN5 MG	430902	baclofen 5 MG Oral Tablet	1292	baclofen	M03BX	OTHER CENTRALLY ACTING AGENTS	M03B	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	M03	MUSCLE RELAXANTS	M	MUSCULO-SKELETAL SYSTEM
2280	APAP325 MG	313782	acetaminophen 325 MG Oral Tablet	161	acetaminophen	N02BE	ANILIDES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
2281	PROPRANOLOL 20M20 MG	856457	propranolol hydrochloride 20 MG Oral Tablet	8787	propranolol	C07AA	BETA BLOCKING AGENTS, NON-SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
2282	HUMALOG100 U/ML	1652640	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	86009	insulin lispro	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2283	HUMALOG100 U/ML	1652640	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	86009	insulin lispro	A10AC	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2284	HUMALOG100 U/ML	1652640	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	86009	insulin lispro	A10AD	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2285	MYCOSTATIN5 ML	312055	nystatin 100000 UNT/ML Oral Suspension	7597	nystatin	A07AA	ANTIBIOTICS	A07A	INTESTINAL ANTIINFECTIVES	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
2286	MYCOSTATIN5 ML	312055	nystatin 100000 UNT/ML Oral Suspension	7597	nystatin	D01AA	ANTIBIOTICS	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2287	MYCOSTATIN5 ML	312055	nystatin 100000 UNT/ML Oral Suspension	7597	nystatin	G01AA	ANTIBIOTICS	G01A	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	G	GENITO URINARY SYSTEM AND SEX HORMONES
2288	BASAGLAR K100 UNIT/1	847230	3 ML insulin glargine 100 UNT/ML Pen Injector	274783	insulin glargine	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2289	TYLENOL SO167 MG/5 M	307684	acetaminophen 33.3 MG/ML Oral Solution	161	acetaminophen	N02BE	ANILIDES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
2290	VITAMIN B12 1100 MCG	309595	vitamin B12 0.1 MG Oral Tablet	11248	vitamin B12	B03BA	VITAMIN B12 (CYANOCOBALAMIN AND ANALOGUES)	B03B	VITAMIN B12 AND FOLIC ACID	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
2291	ATROPINE SULFAT15 ML	1190664	atropine sulfate 10 MG/ML Ophthalmic Solution [Isopto Atropine]	1223	atropine	A03BA	BELLADONNA ALKALOIDS, TERTIARY AMINES	A03B	BELLADONNA AND DERIVATIVES, PLAIN	A03	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
2292	ATROPINE SULFAT15 ML	1190664	atropine sulfate 10 MG/ML Ophthalmic Solution [Isopto Atropine]	1223	atropine	S01FA	ANTICHOLINERGICS	S01F	MYDRIATICS AND CYCLOPLEGICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2293	TRULICITY0.75 MG/0.	1551300	0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]	1551291	dulaglutide	A10BJ	GLUCAGON-LIKE PEPTIDE-1 (GLP-1) ANALOGUES	A10B	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2294	DULERA 200 MCG/13 GM	1246313	120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera]	1002293	formoterol / mometasone	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2295	MAXIPIME2 G/VIAL	1665091	cefepime 2000 MG Injection [Maxipime]	20481	cefepime	J01DE	FOURTH-GENERATION CEPHALOSPORINS	J01D	OTHER BETA-LACTAM ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2296	DESYREL50	856377	trazodone hydrochloride 50 MG Oral Tablet	10737	trazodone	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2297	ATIVAN2 MG/M4	1665188	1 ML lorazepam 2 MG/ML Injection	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2298	ANTIVERT 25MG T25 MG	1673797	meclizine hydrochloride 25 MG Oral Tablet [Wal-Dram 2]	6676	meclizine	R06AE	PIPERAZINE DERIVATIVES	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
2299	RANITIDINE HCL150 MG	198190	ranitidine 150 MG Oral Capsule	9143	ranitidine	A02BA	H2-RECEPTOR ANTAGONISTS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
2300	XANAX0.5 MG	308048	alprazolam 0.5 MG Oral Tablet	596	alprazolam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2301	ZESTRIL40 MG	197884	lisinopril 40 MG Oral Tablet	29046	lisinopril	C09AA	ACE INHIBITORS, PLAIN	C09A	ACE INHIBITORS, PLAIN	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
2302	TRAZODONE HCL150 MG	856364	trazodone hydrochloride 150 MG Oral Tablet	10737	trazodone	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2303	CYMBALTA30 MG	596930	duloxetine 30 MG Delayed Release Oral Capsule	72625	duloxetine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2304	CITALOPRAM HBR20 MG	200371	citalopram 20 MG Oral Tablet	2556	citalopram	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2305	NORCO 10/325 TA1 TAB	856999	acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Tablet	214182	acetaminophen / hydrocodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
2306	CYMBALTA20 MG	596926	duloxetine 20 MG Delayed Release Oral Capsule	72625	duloxetine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2307	TOPROL XL 50MG50 MG	866438	24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol]	6918	metoprolol	C07AB	BETA BLOCKING AGENTS, SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
2308	ZETIA 10MG TABL10 MG	349556	ezetimibe 10 MG Oral Tablet	341248	ezetimibe	C10AX	OTHER LIPID MODIFYING AGENTS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
2309	ZETIA 10MG TABL10 MG	352304	ezetimibe 10 MG Oral Tablet [Zetia]	341248	ezetimibe	C10AX	OTHER LIPID MODIFYING AGENTS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
2310	RISPERDAL12.5 MG/2	706825	risperidone 12.5 MG Injection [Risperdal]	35636	risperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2311	CARDIZEM CD240 MG	830839	24 HR diltiazem hydrochloride 240 MG Extended Release Oral Capsule [Cardizem]	3443	diltiazem	C05AE	MUSCLE RELAXANTS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
2312	CARDIZEM CD240 MG	830839	24 HR diltiazem hydrochloride 240 MG Extended Release Oral Capsule [Cardizem]	3443	diltiazem	C08DB	BENZOTHIAZEPINE DERIVATIVES	C08D	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	C08	CALCIUM CHANNEL BLOCKERS	C	CARDIOVASCULAR SYSTEM
2313	VITAMIN D31000 UNIT	880340	cholecalciferol 0.025 MG Chewable Tablet	2418	cholecalciferol	A11CC	VITAMIN D AND ANALOGUES	A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
2314	PAXIL20 MG	314199	Paroxetine 20 MG Oral Tablet	32937	paroxetine hydrochloride 20 MG Oral Tablet	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2315	ZYPREXA ZYDIS10 MG	312076	olanzapine 10 MG Disintegrating Oral Tablet	61381	olanzapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2316	OCEAN1 SPRAY	1251398	sodium chloride 6.5 MG/ML Nasal Spray [Ocean brand of sodium chloride]	9863	sodium chloride	A12CA	SODIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
2317	OCEAN1 SPRAY	1251398	sodium chloride 6.5 MG/ML Nasal Spray [Ocean brand of sodium chloride]	9863	sodium chloride	B05CB	SALT SOLUTIONS	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
2318	OCEAN1 SPRAY	1251398	sodium chloride 6.5 MG/ML Nasal Spray [Ocean brand of sodium chloride]	9863	sodium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
2319	COREG12.5 MG	212389	carvedilol 12.5 MG Oral Tablet [Coreg]	20352	carvedilol	C07AG	ALPHA AND BETA BLOCKING AGENTS	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
2320	FLEET ENEMA133 ML	283100	sodium phosphate, dibasic 59.3 MG/ML / sodium phosphate, monobasic 161 MG/ML Enema	817886	sodium phosphate, dibasic / sodium phosphate, monobasic	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2321	FLEET ENEMA133 ML	283100	sodium phosphate, dibasic 59.3 MG/ML / sodium phosphate, monobasic 161 MG/ML Enema	817886	sodium phosphate, dibasic / sodium phosphate, monobasic	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
2322	FLEET ENEMA133 ML	283100	sodium phosphate, dibasic 59.3 MG/ML / sodium phosphate, monobasic 161 MG/ML Enema	817886	sodium phosphate, dibasic / sodium phosphate, monobasic	A06AG	ENEMAS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2323	VALIUM2 MG	104699	diazepam 2 MG Oral Tablet [Valium]	3322	diazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2324	DEMADEX 20MG TA20 MG	198371	torsemide 20 MG Oral Tablet	38413	torsemide	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
2325	TOLNAFTATE45 GM	313422	tolnaftate 0.01 MG/MG Topical Powder	10637	tolnaftate	D01AE	OTHER ANTIFUNGALS FOR TOPICAL USE	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2326	OFLOXACIN5 ML	242446	ofloxacin 3 MG/ML Otic Solution	7623	ofloxacin	J01MA	FLUOROQUINOLONES	J01M	QUINOLONE ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2327	OFLOXACIN5 ML	242446	ofloxacin 3 MG/ML Otic Solution	7623	ofloxacin	S01AE	FLUOROQUINOLONES	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2328	OFLOXACIN5 ML	242446	ofloxacin 3 MG/ML Otic Solution	7623	ofloxacin	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
2329	PEXEVA20 MG	314199	Paroxetine 20 MG Oral Tablet	32937	paroxetine hydrochloride 20 MG Oral Tablet	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2330	LIORESAL IT 10M10 MG	308517	20 ML baclofen 0.5 MG/ML Injection	1292	baclofen	M03BX	OTHER CENTRALLY ACTING AGENTS	M03B	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	M03	MUSCLE RELAXANTS	M	MUSCULO-SKELETAL SYSTEM
2331	ZOFRAN ODT4 MG/ODT.T	104894	ondansetron 4 MG Disintegrating Oral Tablet	26225	ondansetron	A04AA	SEROTONIN (5HT3) ANTAGONISTS	A04A	ANTIEMETICS AND ANTINAUSEANTS	A04	ANTIEMETICS AND ANTINAUSEANTS	A	ALIMENTARY TRACT AND METABOLISM
2332	LIDODERM PATC1 PATCH	1009464	Lidocaine Hydrochloride 0.05 MG/MG Transdermal Patch	6387	lidocaine 0.05 MG/MG Medicated Patch	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
2333	LEVEMIR IN100 UNITS/	616238	insulin detemir 100 UNT/ML Injectable Solution [Levemir]	139825	insulin detemir	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2334	LODOSYN25 MG	260260	carbidopa 25 MG Oral Tablet	2019	carbidopa	N04BA	DOPA AND DOPA DERIVATIVES	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
2335	CIALIS5 MG	403957	tadalafil 5 MG Oral Tablet	358263	tadalafil	G04BE	DRUGS USED IN ERECTILE DYSFUNCTION	G04B	UROLOGICALS	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
2336	LOMOTIL TABLET1 TAB	1190641	atropine sulfate 0.025 MG / diphenoxylate hydrochloride 2.5 MG Oral Tablet [Lomotil]	594040	atropine / diphenoxylate	A07DA	ANTIPROPULSIVES	A07D	ANTIPROPULSIVES	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
2337	OMEPRAZOLE20 M2	198051	omeprazole 20 MG Delayed Release Oral Capsule	7646	omeprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
2338	TEARS NATURALE1 DROP	1739858	Dextran 70 1 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution [GenTeal Tears Mild]	687306	dextran 70 1 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2339	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	D02A	EMOLLIENTS AND PROTECTIVES	D02	EMOLLIENTS AND PROTECTIVES	D	DERMATOLOGICALS
2340	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	D02AA	SILICONE PRODUCTS	D02A	EMOLLIENTS AND PROTECTIVES	D02	EMOLLIENTS AND PROTECTIVES	D	DERMATOLOGICALS
2341	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	D02AB	ZINC PRODUCTS	D02A	EMOLLIENTS AND PROTECTIVES	D02	EMOLLIENTS AND PROTECTIVES	D	DERMATOLOGICALS
2342	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	D04AX	OTHER ANTIPRURITICS	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
2343	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2344	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
2345	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
2346	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
2347	AQUAPHOR OINTM105 GM	725145	petrolatum 0.41 MG/MG Topical Ointment	8091	petrolatum	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2348	VASERETIC 10-21 EACH	858830	enalapril maleate 10 MG / hydrochlorothiazide 25 MG Oral Tablet [Vaseretic]	214536	enalapril / hydrochlorothiazide	C09BA	ACE INHIBITORS AND DIURETICS	C09B	ACE INHIBITORS, COMBINATIONS	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
2349	EVOXAC30 MG	261361	cevimeline hydrochloride 30 MG Oral Capsule [Evoxac]	44281	cevimeline	N07AX	OTHER PARASYMPATHOMIMETICS	N07A	PARASYMPATHOMIMETICS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
2350	SILVER SULF 1%50 GM	208185	silver sulfadiazine 10 MG/ML Topical Cream [SSD]	9793	silver sulfadiazine	D06BA	SULFONAMIDES	D06B	CHEMOTHERAPEUTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2351	NOVOLOG100 U/M2	847265	3 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoLog]	51428	3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2352	TRUVADA TABLET1 TAB	639888	emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet [Truvada]	1008145	emtricitabine / tenofovir disoproxil	J05AR	ANTIVIRALS FOR TREATMENT OF HIV INFECTIONS, COMBINATIONS	J05A	DIRECT ACTING ANTIVIRALS	J05	ANTIVIRALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2353	DIAZEPAM5 MG	197591	diazepam 5 MG Oral Tablet	3322	diazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2354	ADVAIR 500-501 EACH	1359858	fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	284635	fluticasone / salmeterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
